,IP Address,Domain,Timestamp,Method,Path,Protocol,Status,Size,Referrer
0,139.192.48.75,services.ycab.org,[28/Jun/2025:10:27:56+0000],GET,/assets/images/banner-main-menu.png,HTTP/2.0,200,949180,https://services.ycab.org/
1,139.192.48.75,services.ycab.org,[28/Jun/2025:10:27:57+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
2,139.192.48.75,services.ycab.org,[28/Jun/2025:10:28:28+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
3,139.192.48.75,services.ycab.org,[28/Jun/2025:10:28:46+0000],GET,/portal/it/list-ticket,HTTP/2.0,200,3566,https://services.ycab.org/
4,139.192.48.75,services.ycab.org,[28/Jun/2025:10:28:47+0000],GET,/vendor/datatables/datatables.min.js,HTTP/2.0,200,957271,https://services.ycab.org/portal/it/list-ticket
5,139.192.48.75,services.ycab.org,[28/Jun/2025:10:28:47+0000],GET,/portal/it/get-list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106527253,HTTP/2.0,200,61,https://services.ycab.org/portal/it/list-ticket
6,139.192.48.75,services.ycab.org,[28/Jun/2025:10:28:48+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
7,139.192.48.75,services.ycab.org,[28/Jun/2025:10:28:49+0000],GET,/portal/it/create-ticket,HTTP/2.0,200,4688,https://services.ycab.org/portal/it/list-ticket
8,139.192.48.75,services.ycab.org,[28/Jun/2025:10:28:50+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
9,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:24+0000],GET,/portal/it/list-ticket,HTTP/2.0,200,3566,https://services.ycab.org/portal/it/create-ticket
10,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:24+0000],GET,/portal/it/get-list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106564668,HTTP/2.0,200,61,https://services.ycab.org/portal/it/list-ticket
11,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:26+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
12,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:32+0000],GET,/portal/it/get-list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106572788,HTTP/2.0,200,61,https://services.ycab.org/portal/it/list-ticket
13,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:35+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
14,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:38+0000],GET,/portal/pga/list-ticket,HTTP/2.0,200,3540,https://services.ycab.org/
15,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:39+0000],GET,/pga/list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106578909,HTTP/2.0,200,61,https://services.ycab.org/portal/pga/list-ticket
16,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:40+0000],GET,/portal/pga/create-ticket,HTTP/2.0,200,5564,https://services.ycab.org/portal/pga/list-ticket
17,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:40+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
18,139.192.48.75,services.ycab.org,[28/Jun/2025:10:29:41+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
19,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:06+0000],GET,/portal/pga/dashboard-fp,HTTP/2.0,200,3366,https://services.ycab.org/portal/pga/create-ticket
20,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:06+0000],GET,/assets/js/fp-dashboard.js,HTTP/2.0,200,70,https://services.ycab.org/portal/pga/dashboard-fp
21,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:08+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
22,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:08+0000],GET,/portal/pga/list-ticket,HTTP/2.0,200,3540,https://services.ycab.org/portal/pga/dashboard-fp
23,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:08+0000],GET,/pga/list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106608756,HTTP/2.0,200,61,https://services.ycab.org/portal/pga/list-ticket
24,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:10+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
25,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:13+0000],GET,/portal/pga/dashboard-fp,HTTP/2.0,200,3366,https://services.ycab.org/portal/pga/create-ticket
26,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:14+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
27,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:21+0000],GET,/pga/list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106621057,HTTP/2.0,200,61,https://services.ycab.org/portal/pga/list-ticket
28,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:23+0000],GET,/portal/fa/list-ticket,HTTP/2.0,302,438,https://services.ycab.org/
29,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:23+0000],GET,/portal/fa/dashboard-pr,HTTP/2.0,200,3332,https://services.ycab.org/
30,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:23+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
31,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:23+0000],GET,/assets/js/fa/pr-dashboard.js,HTTP/2.0,200,69,https://services.ycab.org/portal/fa/dashboard-pr
32,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:25+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
33,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:55+0000],GET,/portal/legal/list-ticket,HTTP/2.0,200,3570,https://services.ycab.org/
34,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:56+0000],GET,/portal/legal/get-list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106655898,HTTP/2.0,200,61,https://services.ycab.org/portal/legal/list-ticket
35,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:57+0000],GET,/portal/legal/create-ticket,HTTP/2.0,200,4817,https://services.ycab.org/portal/legal/list-ticket
36,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:57+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
37,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:59+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
38,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:03+0000],GET,/portal/hc/list-ticket,HTTP/2.0,200,3568,https://services.ycab.org/
39,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:03+0000],GET,/portal/hc/get-list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106663217,HTTP/2.0,200,61,https://services.ycab.org/portal/hc/list-ticket
40,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:04+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
41,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:05+0000],GET,/portal/hc/create-ticket,HTTP/2.0,200,4718,https://services.ycab.org/portal/hc/list-ticket
42,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:06+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
43,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:33+0000],GET,/portal/pga/list-ticket,HTTP/2.0,200,3540,https://services.ycab.org/
44,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:33+0000],GET,/pga/list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106693665,HTTP/2.0,200,61,https://services.ycab.org/portal/pga/list-ticket
45,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:35+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
